14	15	16	17	18	19	20	21	22	23	5	24	25	26	27	28	29	30	31	32	6	33	7	8	9	10	11	12	13
DarkRed	Hat	LightTurquiose	DarkRed	LightTurquiose	Sawblade	LightGreen	Spike	Bar	LightBlue	DarkRed	LightBlue	Hat	Hat	DarkGray	LightRed	Venn	DarkBlue	Hourglass	DarkRed	UpArrow	Spike	Diamond	Lock	LightGreen	LightBlue	DarkGray	Spike	Spike
DarkRed	Hat	LightTurquiose	DarkRed	LightTurquiose	Sawblade	LightGreen	Spike	Bar	LightBlue	DarkRed	LightBlue	Hat	Hat	DarkGray	LightRed	Venn	DarkBlue	Hourglass	DarkRed	UpArrow	Spike	Diamond	Lock	LightGreen	LightBlue	DarkGray	Spike	Spike
DarkRed	Hat	LightTurquiose	DarkRed	LightTurquiose	Sawblade	LightGreen	Spike	Bar	LightBlue	DarkRed	LightBlue	Hat	Hat	DarkGray	LightRed	Venn	DarkBlue	Hourglass	DarkRed	UpArrow	Spike	Diamond	Lock	LightGreen	LightBlue	DarkGray	Spike	Spike
DarkRed_Choice	Hat_Choice	LightTurquiose_Choice	DarkRed_Choice	LightTurquiose_Choice	Sawblade_Choice	LightGreen_Choice	Spike_Choice	Bar_Choice	LightBlue_Choice	DarkRed_Choice	LightBlue_Choice	Hat_Choice	Hat_Choice	DarkGray_Choice	LightRed_Choice	Venn_Choice	DarkBlue_Choice	Hourglass_Choice	DarkRed_Choice	UpArrow_Choice	Spike_Choice	Diamond_Choice	Lock_Choice	LightGreen_Choice	LightBlue_Choice	DarkGray_Choice	Spike_Choice	Spike_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	UpArrow	Hat	Spade	DarkGray	LightGreen	Bar	LightBlue	LightBlue	DarkGray	Spike	DarkRed	Spike	Spike	Hat	Venn	LightRed	LightRed	Hourglass	DarkGray	Spade	DarkRed	Diamond	LightYellow	LightRed	Hourglass	DarkGray	UpArrow	Spike
DarkGray	UpArrow	Hat	Spade	DarkGray	LightGreen	Bar	LightBlue	LightBlue	DarkGray	Spike	DarkRed	Spike	Spike	Hat	Venn	LightRed	LightRed	Hourglass	DarkGray	Spade	DarkRed	Diamond	LightYellow	LightRed	Hourglass	DarkGray	UpArrow	Spike
DarkGray	UpArrow	Hat	Spade	DarkGray	LightGreen	Bar	LightBlue	LightBlue	DarkGray	Spike	DarkRed	Spike	Spike	Hat	Venn	LightRed	LightRed	Hourglass	DarkGray	Spade	DarkRed	Diamond	LightYellow	LightRed	Hourglass	DarkGray	UpArrow	Spike
DarkGray_Choice	UpArrow_Choice	Hat_Choice	Spade_Choice	DarkGray_Choice	LightGreen_Choice	Bar_Choice	LightBlue_Choice	LightBlue_Choice	DarkGray_Choice	Spike_Choice	DarkRed_Choice	Spike_Choice	Spike_Choice	Hat_Choice	Venn_Choice	LightRed_Choice	LightRed_Choice	Hourglass_Choice	DarkGray_Choice	Spade_Choice	DarkRed_Choice	Diamond_Choice	LightYellow_Choice	LightRed_Choice	Hourglass_Choice	DarkGray_Choice	UpArrow_Choice	Spike_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed	DarkPurple	Puzzle	Hat	LightTurquiose	Sawblade	Spike	Spike	Sawblade	DarkGray	DarkRed	Sawblade	DarkRed	DarkRed	LightBlue	Venn	LightBlue	Sawblade	Nail	Spike	LightBlue	UpArrow	Hourglass	LightGreen	Lock	LightYellow	LightBlue	Hat	DarkRed
DarkRed	DarkPurple	Puzzle	Hat	LightTurquiose	Sawblade	Spike	Spike	Sawblade	DarkGray	DarkRed	Sawblade	DarkRed	DarkRed	LightBlue	Venn	LightBlue	Sawblade	Nail	Spike	LightBlue	UpArrow	Hourglass	LightGreen	Lock	LightYellow	LightBlue	Hat	DarkRed
DarkRed	DarkPurple	Puzzle	Hat	LightTurquiose	Sawblade	Spike	Spike	Sawblade	DarkGray	DarkRed	Sawblade	DarkRed	DarkRed	LightBlue	Venn	LightBlue	Sawblade	Nail	Spike	LightBlue	UpArrow	Hourglass	LightGreen	Lock	LightYellow	LightBlue	Hat	DarkRed
DarkRed_Choice	DarkPurple_Choice	Puzzle_Choice	Hat_Choice	LightTurquiose_Choice	Sawblade_Choice	Spike_Choice	Spike_Choice	Sawblade_Choice	DarkGray_Choice	DarkRed_Choice	Sawblade_Choice	DarkRed_Choice	DarkRed_Choice	LightBlue_Choice	Venn_Choice	LightBlue_Choice	Sawblade_Choice	Nail_Choice	Spike_Choice	LightBlue_Choice	UpArrow_Choice	Hourglass_Choice	LightGreen_Choice	Lock_Choice	LightYellow_Choice	LightBlue_Choice	Hat_Choice	DarkRed_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkYellow	DarkRed	DarkPurple	DarkPurple	Puzzle	Sawblade	Lock	Sawblade	Lock	LightBlue	DarkRed	DarkRed	DarkRed	DarkRed	DarkYellow	DarkBlue	Venn	LightRed	DarkBlue	Dodecagon	UpArrow	Spike	LightRed	LightGreen	Sawblade	Hourglass	Sawblade	DarkYellow	Hat
DarkYellow	DarkRed	DarkPurple	DarkPurple	Puzzle	Sawblade	Lock	Sawblade	Lock	LightBlue	DarkRed	DarkRed	DarkRed	DarkRed	DarkYellow	DarkBlue	Venn	LightRed	DarkBlue	Dodecagon	UpArrow	Spike	LightRed	LightGreen	Sawblade	Hourglass	Sawblade	DarkYellow	Hat
DarkYellow	DarkRed	DarkPurple	DarkPurple	Puzzle	Sawblade	Lock	Sawblade	Lock	LightBlue	DarkRed	DarkRed	DarkRed	DarkRed	DarkYellow	DarkBlue	Venn	LightRed	DarkBlue	Dodecagon	UpArrow	Spike	LightRed	LightGreen	Sawblade	Hourglass	Sawblade	DarkYellow	Hat
DarkYellow_Choice	DarkRed_Choice	DarkPurple_Choice	DarkPurple_Choice	Puzzle_Choice	Sawblade_Choice	Lock_Choice	Sawblade_Choice	Lock_Choice	LightBlue_Choice	DarkRed_Choice	DarkRed_Choice	DarkRed_Choice	DarkRed_Choice	DarkYellow_Choice	DarkBlue_Choice	Venn_Choice	LightRed_Choice	DarkBlue_Choice	Dodecagon_Choice	UpArrow_Choice	Spike_Choice	LightRed_Choice	LightGreen_Choice	Sawblade_Choice	Hourglass_Choice	Sawblade_Choice	DarkYellow_Choice	Hat_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
