6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	4	5
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed	LightYellow	DarkGray	LightYellow	DarkGray	UpArrow	Nail	Bar	Diamond	LightYellow	Spade	LightTurquiose	DarkBlue	LightPurple	DarkGreen	LightTurquiose	Hat	Diamond	Rabbit	Bar	Hat	Hat	Hat	Spade	Hat	LightYellow	Nail
DarkRed	LightYellow	DarkGray	LightYellow	DarkGray	UpArrow	Nail	Bar	Diamond	LightYellow	Spade	LightTurquiose	DarkBlue	LightPurple	DarkGreen	LightTurquiose	Hat	Diamond	Rabbit	Bar	Hat	Hat	Hat	Spade	Hat	LightYellow	Nail
DarkRed	LightYellow	DarkGray	LightYellow	DarkGray	UpArrow	Nail	Bar	Diamond	LightYellow	Spade	LightTurquiose	DarkBlue	LightPurple	DarkGreen	LightTurquiose	Hat	Diamond	Rabbit	Bar	Hat	Hat	Hat	Spade	Hat	LightYellow	Nail
DarkRed_Choice	LightYellow_Choice	DarkGray_Choice	LightYellow_Choice	DarkGray_Choice	UpArrow_Choice	Nail_Choice	Bar_Choice	Diamond_Choice	LightYellow_Choice	Spade_Choice	LightTurquiose_Choice	DarkBlue_Choice	LightPurple_Choice	DarkGreen_Choice	LightTurquiose_Choice	Hat_Choice	Diamond_Choice	Rabbit_Choice	Bar_Choice	Hat_Choice	Hat_Choice	Hat_Choice	Spade_Choice	Hat_Choice	LightYellow_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue	Nail	DarkGray	DarkRed	LightYellow	LightYellow	DarkGray	Diamond	UpArrow	UpArrow	Nail	Rabbit	Spade	Nail	Spade	LightPurple	Diamond	LightTurquiose	DarkGreen	LightYellow	Bar	Bar	Bar	Hat	Bar	Spade	Rabbit
DarkBlue	Nail	DarkGray	DarkRed	LightYellow	LightYellow	DarkGray	Diamond	UpArrow	UpArrow	Nail	Rabbit	Spade	Nail	Spade	LightPurple	Diamond	LightTurquiose	DarkGreen	LightYellow	Bar	Bar	Bar	Hat	Bar	Spade	Rabbit
DarkBlue	Nail	DarkGray	DarkRed	LightYellow	LightYellow	DarkGray	Diamond	UpArrow	UpArrow	Nail	Rabbit	Spade	Nail	Spade	LightPurple	Diamond	LightTurquiose	DarkGreen	LightYellow	Bar	Bar	Bar	Hat	Bar	Spade	Rabbit
DarkBlue_Choice	Nail_Choice	DarkGray_Choice	DarkRed_Choice	LightYellow_Choice	LightYellow_Choice	DarkGray_Choice	Diamond_Choice	UpArrow_Choice	UpArrow_Choice	Nail_Choice	Rabbit_Choice	Spade_Choice	Nail_Choice	Spade_Choice	LightPurple_Choice	Diamond_Choice	LightTurquiose_Choice	DarkGreen_Choice	LightYellow_Choice	Bar_Choice	Bar_Choice	Bar_Choice	Hat_Choice	Bar_Choice	Spade_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGreen	Bar	Diamond	DarkGray	Rabbit	UpArrow	DarkBlue	DarkGray	LightTurquiose	DarkRed	Spade	UpArrow	Spade	LightPurple	Diamond	DarkRed	Spade	DarkGray	Bar	DarkGray	DarkRed	DarkRed	DarkRed	LightPurple	DarkRed	Nail	Nail
DarkGreen	Bar	Diamond	DarkGray	Rabbit	UpArrow	DarkBlue	DarkGray	LightTurquiose	DarkRed	Spade	UpArrow	Spade	LightPurple	Diamond	DarkRed	Spade	DarkGray	Bar	DarkGray	DarkRed	DarkRed	DarkRed	LightPurple	DarkRed	Nail	Nail
