14	15	16	17	18	19	20	21	5	6	7	8	9	10	11	12	13
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow	DarkTurquiose	Dodecagon	Sawblade	LightBlue	LightTurquiose	Rabbit	DarkYellow	LightGreen	Hat	Lock	DarkGray	Spade	Spike	DarkYellow	DarkYellow	LightTurquiose
LightYellow	DarkTurquiose	Dodecagon	Sawblade	LightBlue	LightTurquiose	Rabbit	DarkYellow	LightGreen	Hat	Lock	DarkGray	Spade	Spike	DarkYellow	DarkYellow	LightTurquiose
LightYellow	DarkTurquiose	Dodecagon	Sawblade	LightBlue	LightTurquiose	Rabbit	DarkYellow	LightGreen	Hat	Lock	DarkGray	Spade	Spike	DarkYellow	DarkYellow	LightTurquiose
LightYellow_Choice	DarkTurquiose_Choice	Dodecagon_Choice	Sawblade_Choice	LightBlue_Choice	LightTurquiose_Choice	Rabbit_Choice	DarkYellow_Choice	LightGreen_Choice	Hat_Choice	Lock_Choice	DarkGray_Choice	Spade_Choice	Spike_Choice	DarkYellow_Choice	DarkYellow_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon	DarkTurquiose	Venn	LightBlue	Hourglass	Sawblade	Spade	DarkYellow	LightYellow	DarkGreen	Lock	Bar	Spade	LightGreen	Lock	LightRed	LightGray
Dodecagon	DarkTurquiose	Venn	LightBlue	Hourglass	Sawblade	Spade	DarkYellow	LightYellow	DarkGreen	Lock	Bar	Spade	LightGreen	Lock	LightRed	LightGray
Dodecagon	DarkTurquiose	Venn	LightBlue	Hourglass	Sawblade	Spade	DarkYellow	LightYellow	DarkGreen	Lock	Bar	Spade	LightGreen	Lock	LightRed	LightGray
Dodecagon_Choice	DarkTurquiose_Choice	Venn_Choice	LightBlue_Choice	Hourglass_Choice	Sawblade_Choice	Spade_Choice	DarkYellow_Choice	LightYellow_Choice	DarkGreen_Choice	Lock_Choice	Bar_Choice	Spade_Choice	LightGreen_Choice	Lock_Choice	LightRed_Choice	LightGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose	Venn	LightYellow	LightRed	LightRed	LightTurquiose	Rabbit	LightYellow	LightYellow	Lock	Bar	Bar	LightGreen	LightTurquiose	LightTurquiose	LightRed	Spade
LightTurquiose	Venn	LightYellow	LightRed	LightRed	LightTurquiose	Rabbit	LightYellow	LightYellow	Lock	Bar	Bar	LightGreen	LightTurquiose	LightTurquiose	LightRed	Spade
LightTurquiose	Venn	LightYellow	LightRed	LightRed	LightTurquiose	Rabbit	LightYellow	LightYellow	Lock	Bar	Bar	LightGreen	LightTurquiose	LightTurquiose	LightRed	Spade
