18	19	20	21	22	23	24	25	26	27	4	28	29	30	31	32	33	34	35	36	37	10	38	39	11	12	13	14	15	16	17
LightRed	Sawblade	Dodecagon	Bar	UpArrow	Spike	DarkRed	LightGray	Spade	DarkBlue	LightGreen	Venn	Venn	Hourglass	Dodecagon	Spade	UpArrow	Spade	Sawblade	DarkGray	DarkGray	LightGreen	Sawblade	Sawblade	LightYellow	Diamond	Diamond	Rabbit	Puzzle	LightGreen	DarkTurquiose
LightRed	Sawblade	Dodecagon	Bar	UpArrow	Spike	DarkRed	LightGray	Spade	DarkBlue	LightGreen	Venn	Venn	Hourglass	Dodecagon	Spade	UpArrow	Spade	Sawblade	DarkGray	DarkGray	LightGreen	Sawblade	Sawblade	LightYellow	Diamond	Diamond	Rabbit	Puzzle	LightGreen	DarkTurquiose
LightRed	Sawblade	Dodecagon	Bar	UpArrow	Spike	DarkRed	LightGray	Spade	DarkBlue	LightGreen	Venn	Venn	Hourglass	Dodecagon	Spade	UpArrow	Spade	Sawblade	DarkGray	DarkGray	LightGreen	Sawblade	Sawblade	LightYellow	Diamond	Diamond	Rabbit	Puzzle	LightGreen	DarkTurquiose
LightRed_Choice	Sawblade_Choice	Dodecagon_Choice	Bar_Choice	UpArrow_Choice	Spike_Choice	DarkRed_Choice	LightGray_Choice	Spade_Choice	DarkBlue_Choice	LightGreen_Choice	Venn_Choice	Venn_Choice	Hourglass_Choice	Dodecagon_Choice	Spade_Choice	UpArrow_Choice	Spade_Choice	Sawblade_Choice	DarkGray_Choice	DarkGray_Choice	LightGreen_Choice	Sawblade_Choice	Sawblade_Choice	LightYellow_Choice	Diamond_Choice	Diamond_Choice	Rabbit_Choice	Puzzle_Choice	LightGreen_Choice	DarkTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hourglass	DarkTurquiose	Sawblade	DarkGreen	Venn	Venn	Spike	LightGray	DarkBlue	LightTurquiose	DarkGray	LightGray	LightGray	LightTurquiose	DarkTurquiose	Dodecagon	LightTurquiose	LightGray	LightBlue	Hat	UpArrow	DarkGray	Hat	Hat	Hat	LightYellow	LightGreen	Rabbit	Lock	Lock	Rabbit
Hourglass	DarkTurquiose	Sawblade	DarkGreen	Venn	Venn	Spike	LightGray	DarkBlue	LightTurquiose	DarkGray	LightGray	LightGray	LightTurquiose	DarkTurquiose	Dodecagon	LightTurquiose	LightGray	LightBlue	Hat	UpArrow	DarkGray	Hat	Hat	Hat	LightYellow	LightGreen	Rabbit	Lock	Lock	Rabbit
Hourglass	DarkTurquiose	Sawblade	DarkGreen	Venn	Venn	Spike	LightGray	DarkBlue	LightTurquiose	DarkGray	LightGray	LightGray	LightTurquiose	DarkTurquiose	Dodecagon	LightTurquiose	LightGray	LightBlue	Hat	UpArrow	DarkGray	Hat	Hat	Hat	LightYellow	LightGreen	Rabbit	Lock	Lock	Rabbit
Hourglass_Choice	DarkTurquiose_Choice	Sawblade_Choice	DarkGreen_Choice	Venn_Choice	Venn_Choice	Spike_Choice	LightGray_Choice	DarkBlue_Choice	LightTurquiose_Choice	DarkGray_Choice	LightGray_Choice	LightGray_Choice	LightTurquiose_Choice	DarkTurquiose_Choice	Dodecagon_Choice	LightTurquiose_Choice	LightGray_Choice	LightBlue_Choice	Hat_Choice	UpArrow_Choice	DarkGray_Choice	Hat_Choice	Hat_Choice	Hat_Choice	LightYellow_Choice	LightGreen_Choice	Rabbit_Choice	Lock_Choice	Lock_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGreen	DarkTurquiose	Hourglass	LightRed	Venn	UpArrow	UpArrow	Spike	DarkBlue	Nail	LightGreen	LightRed	LightRed	LightRed	DarkTurquiose	LightTurquiose	LightGray	LightGray	DarkGray	UpArrow	Puzzle	LightGreen	Hat	Hat	Lock	DarkGray	DarkGreen	Puzzle	DarkPurple	Lock	DarkTurquiose
DarkGreen	DarkTurquiose	Hourglass	LightRed	Venn	UpArrow	UpArrow	Spike	DarkBlue	Nail	LightGreen	LightRed	LightRed	LightRed	DarkTurquiose	LightTurquiose	LightGray	LightGray	DarkGray	UpArrow	Puzzle	LightGreen	Hat	Hat	Lock	DarkGray	DarkGreen	Puzzle	DarkPurple	Lock	DarkTurquiose
DarkGreen	DarkTurquiose	Hourglass	LightRed	Venn	UpArrow	UpArrow	Spike	DarkBlue	Nail	LightGreen	LightRed	LightRed	LightRed	DarkTurquiose	LightTurquiose	LightGray	LightGray	DarkGray	UpArrow	Puzzle	LightGreen	Hat	Hat	Lock	DarkGray	DarkGreen	Puzzle	DarkPurple	Lock	DarkTurquiose
DarkGreen_Choice	DarkTurquiose_Choice	Hourglass_Choice	LightRed_Choice	Venn_Choice	UpArrow_Choice	UpArrow_Choice	Spike_Choice	DarkBlue_Choice	Nail_Choice	LightGreen_Choice	LightRed_Choice	LightRed_Choice	LightRed_Choice	DarkTurquiose_Choice	LightTurquiose_Choice	LightGray_Choice	LightGray_Choice	DarkGray_Choice	UpArrow_Choice	Puzzle_Choice	LightGreen_Choice	Hat_Choice	Hat_Choice	Lock_Choice	DarkGray_Choice	DarkGreen_Choice	Puzzle_Choice	DarkPurple_Choice	Lock_Choice	DarkTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	Hourglass	Hourglass	Sawblade	Hat	DarkGray	DarkYellow	DarkGray	LightRed	Nail	LightGreen	Hourglass	Hourglass	LightRed	LightGray	UpArrow	DarkTurquiose	UpArrow	Puzzle	Hat	Hat	LightGreen	Puzzle	Puzzle	Hat	Lock	DarkGray	Puzzle	Puzzle	LightPurple	LightPurple
DarkTurquiose	Hourglass	Hourglass	Sawblade	Hat	DarkGray	DarkYellow	DarkGray	LightRed	Nail	LightGreen	Hourglass	Hourglass	LightRed	LightGray	UpArrow	DarkTurquiose	UpArrow	Puzzle	Hat	Hat	LightGreen	Puzzle	Puzzle	Hat	Lock	DarkGray	Puzzle	Puzzle	LightPurple	LightPurple
DarkTurquiose	Hourglass	Hourglass	Sawblade	Hat	DarkGray	DarkYellow	DarkGray	LightRed	Nail	LightGreen	Hourglass	Hourglass	LightRed	LightGray	UpArrow	DarkTurquiose	UpArrow	Puzzle	Hat	Hat	LightGreen	Puzzle	Puzzle	Hat	Lock	DarkGray	Puzzle	Puzzle	LightPurple	LightPurple
DarkTurquiose_Choice	Hourglass_Choice	Hourglass_Choice	Sawblade_Choice	Hat_Choice	DarkGray_Choice	DarkYellow_Choice	DarkGray_Choice	LightRed_Choice	Nail_Choice	LightGreen_Choice	Hourglass_Choice	Hourglass_Choice	LightRed_Choice	LightGray_Choice	UpArrow_Choice	DarkTurquiose_Choice	UpArrow_Choice	Puzzle_Choice	Hat_Choice	Hat_Choice	LightGreen_Choice	Puzzle_Choice	Puzzle_Choice	Hat_Choice	Lock_Choice	DarkGray_Choice	Puzzle_Choice	Puzzle_Choice	LightPurple_Choice	LightPurple_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue	LightBlue	Sawblade	DarkGreen	DarkYellow	DarkRed	DarkGray	Venn	DarkBlue	Hourglass	LightYellow	LightRed	LightRed	Venn	LightTurquiose	Venn	Spade	DarkRed	Puzzle	LightBlue	DarkRed	LightYellow	DarkPurple	DarkPurple	DarkGreen	Lock	Bar	DarkPurple	LightPurple	Lock	LightPurple
LightBlue	LightBlue	Sawblade	DarkGreen	DarkYellow	DarkRed	DarkGray	Venn	DarkBlue	Hourglass	LightYellow	LightRed	LightRed	Venn	LightTurquiose	Venn	Spade	DarkRed	Puzzle	LightBlue	DarkRed	LightYellow	DarkPurple	DarkPurple	DarkGreen	Lock	Bar	DarkPurple	LightPurple	Lock	LightPurple
LightBlue	LightBlue	Sawblade	DarkGreen	DarkYellow	DarkRed	DarkGray	Venn	DarkBlue	Hourglass	LightYellow	LightRed	LightRed	Venn	LightTurquiose	Venn	Spade	DarkRed	Puzzle	LightBlue	DarkRed	LightYellow	DarkPurple	DarkPurple	DarkGreen	Lock	Bar	DarkPurple	LightPurple	Lock	LightPurple
LightBlue_Choice	LightBlue_Choice	Sawblade_Choice	DarkGreen_Choice	DarkYellow_Choice	DarkRed_Choice	DarkGray_Choice	Venn_Choice	DarkBlue_Choice	Hourglass_Choice	LightYellow_Choice	LightRed_Choice	LightRed_Choice	Venn_Choice	LightTurquiose_Choice	Venn_Choice	Spade_Choice	DarkRed_Choice	Puzzle_Choice	LightBlue_Choice	DarkRed_Choice	LightYellow_Choice	DarkPurple_Choice	DarkPurple_Choice	DarkGreen_Choice	Lock_Choice	Bar_Choice	DarkPurple_Choice	LightPurple_Choice	Lock_Choice	LightPurple_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
